Epoch,Step,Loss,Loss pos,Loss neg
1,168,0.1844,0.1159,0.0685
1,169,0.1869,0.1175,0.0694
1,170,0.1740,0.1044,0.0695
1,171,0.1789,0.1103,0.0686
1,172,0.1856,0.1167,0.0689
1,173,0.1865,0.1180,0.0684
1,174,0.1769,0.1086,0.0682
1,175,0.1845,0.1164,0.0681
1,176,0.1766,0.1088,0.0678
1,177,0.1771,0.1105,0.0666
1,178,0.1799,0.1112,0.0687
1,179,0.1796,0.1127,0.0669
1,180,0.1805,0.1155,0.0651
1,181,0.1795,0.1126,0.0669
1,182,0.1844,0.1167,0.0677
1,183,0.1772,0.1076,0.0696
1,184,0.1839,0.1151,0.0688
1,185,0.1723,0.1072,0.0650
1,186,0.1736,0.1079,0.0657
1,187,0.1778,0.1116,0.0662
1,188,0.1767,0.1101,0.0667
1,189,0.1681,0.1035,0.0645
1,190,0.1767,0.1122,0.0645
1,191,0.1784,0.1129,0.0654
1,192,0.1711,0.1078,0.0633
1,193,0.1687,0.1026,0.0660
1,194,0.1758,0.1106,0.0652
1,195,0.1748,0.1085,0.0663
1,196,0.1759,0.1105,0.0654
1,197,0.1716,0.1077,0.0639
1,198,0.1740,0.1107,0.0633
1,199,0.1762,0.1143,0.0619
1,200,0.1711,0.1065,0.0647
1,201,0.1563,0.0934,0.0629
1,0.2248,0.1159,0.1089
2,1,0.1163,0.0516,0.0646
2,2,0.1088,0.0445,0.0643
2,3,0.1214,0.0585,0.0629
2,4,0.1138,0.0523,0.0615
2,5,0.1128,0.0519,0.0609
2,6,0.1130,0.0536,0.0593
2,7,0.1121,0.0542,0.0579
2,8,0.1094,0.0557,0.0537
2,9,0.1044,0.0498,0.0546
2,10,0.1061,0.0529,0.0532
2,11,0.1093,0.0592,0.0501
2,12,0.1061,0.0567,0.0494
2,13,0.1064,0.0593,0.0471
2,14,0.1027,0.0568,0.0459
2,15,0.1058,0.0616,0.0442
2,16,0.1017,0.0587,0.0430
2,17,0.1028,0.0607,0.0420
2,18,0.1051,0.0633,0.0418
2,19,0.1065,0.0657,0.0408
2,20,0.0978,0.0579,0.0399
2,21,0.1031,0.0632,0.0399
2,22,0.1034,0.0645,0.0389
2,23,0.1002,0.0619,0.0383
2,24,0.0960,0.0584,0.0376
2,25,0.1011,0.0644,0.0368
2,26,0.1042,0.0669,0.0372
2,27,0.1042,0.0676,0.0366
2,28,0.1007,0.0641,0.0366
2,29,0.1046,0.0667,0.0379
2,30,0.1056,0.0689,0.0368
2,31,0.1001,0.0640,0.0362
2,32,0.1079,0.0706,0.0373
2,33,0.0985,0.0627,0.0357
2,34,0.1012,0.0642,0.0369
2,35,0.1028,0.0678,0.0350
2,36,0.0959,0.0597,0.0362
2,37,0.1000,0.0639,0.0361
2,38,0.1038,0.0672,0.0366
2,39,0.0992,0.0641,0.0352
2,40,0.1010,0.0645,0.0365
2,41,0.1006,0.0638,0.0368
2,42,0.0965,0.0600,0.0365
2,43,0.1080,0.0721,0.0359
2,44,0.0971,0.0606,0.0365
2,45,0.1003,0.0646,0.0357
2,46,0.1013,0.0660,0.0353
2,47,0.1029,0.0655,0.0374
2,48,0.1025,0.0671,0.0354
2,49,0.1007,0.0631,0.0376
2,50,0.1012,0.0655,0.0357
2,51,0.1016,0.0646,0.0370
2,52,0.1102,0.0736,0.0367
2,53,0.1025,0.0663,0.0361
2,54,0.1048,0.0685,0.0363
2,55,0.0998,0.0631,0.0367
2,56,0.0993,0.0608,0.0385
2,57,0.1018,0.0646,0.0372
2,58,0.1045,0.0675,0.0370
2,59,0.1030,0.0647,0.0383
2,60,0.0981,0.0612,0.0369
2,61,0.1034,0.0665,0.0369
2,62,0.1021,0.0648,0.0373
2,63,0.1008,0.0633,0.0374
2,64,0.0973,0.0604,0.0369
2,65,0.0999,0.0628,0.0370
2,66,0.1099,0.0731,0.0367
2,67,0.1011,0.0639,0.0372
2,68,0.0990,0.0616,0.0373
2,69,0.0979,0.0611,0.0369
2,70,0.1020,0.0641,0.0379
2,71,0.0943,0.0582,0.0362
2,72,0.1027,0.0658,0.0369
2,73,0.0970,0.0596,0.0374
2,74,0.1066,0.0701,0.0365
2,75,0.1000,0.0625,0.0375
2,76,0.1019,0.0651,0.0367
2,77,0.1020,0.0647,0.0373
2,78,0.1007,0.0641,0.0367
2,79,0.1044,0.0672,0.0372
2,80,0.1008,0.0640,0.0368
2,81,0.1032,0.0664,0.0368
2,82,0.0996,0.0626,0.0370
2,83,0.1031,0.0659,0.0372
2,84,0.1031,0.0665,0.0366
2,85,0.0975,0.0599,0.0376
2,86,0.1023,0.0657,0.0366
2,87,0.1062,0.0688,0.0373
2,88,0.1001,0.0623,0.0377
2,89,0.1018,0.0647,0.0371
2,90,0.1065,0.0682,0.0382
2,91,0.1002,0.0631,0.0371
2,92,0.1012,0.0634,0.0379
2,93,0.1014,0.0652,0.0362
2,94,0.1003,0.0629,0.0374
2,95,0.1032,0.0658,0.0374
2,96,0.1031,0.0653,0.0379
2,97,0.1018,0.0644,0.0374
2,98,0.1031,0.0672,0.0358
2,99,0.1009,0.0648,0.0361
2,100,0.1059,0.0706,0.0352
2,101,0.1047,0.0691,0.0356
2,102,0.1001,0.0646,0.0356
2,103,0.1068,0.0706,0.0362
2,104,0.1011,0.0652,0.0359
2,105,0.1087,0.0711,0.0376
2,106,0.1017,0.0659,0.0358
2,107,0.1053,0.0687,0.0366
2,108,0.1008,0.0642,0.0365
2,109,0.1016,0.0647,0.0369
2,110,0.1037,0.0645,0.0392
2,111,0.0983,0.0608,0.0376
2,112,0.1091,0.0707,0.0384
2,113,0.1032,0.0657,0.0376
2,114,0.1019,0.0662,0.0357
2,115,0.1039,0.0662,0.0377
2,116,0.1009,0.0622,0.0387
2,117,0.1074,0.0698,0.0376
2,118,0.1046,0.0679,0.0367
2,119,0.1047,0.0682,0.0364
2,120,0.1015,0.0656,0.0359
2,121,0.1058,0.0694,0.0364
2,122,0.1004,0.0643,0.0361
2,123,0.1068,0.0699,0.0369
2,124,0.0987,0.0621,0.0366
2,125,0.1070,0.0693,0.0378
2,126,0.1066,0.0702,0.0363
2,127,0.0998,0.0638,0.0359
2,128,0.1079,0.0720,0.0359
2,129,0.1032,0.0658,0.0374
2,130,0.1051,0.0685,0.0366
2,131,0.1088,0.0723,0.0365
2,132,0.1081,0.0714,0.0367
2,133,0.1065,0.0704,0.0361
2,134,0.1045,0.0672,0.0373
2,135,0.1019,0.0637,0.0382
2,136,0.1022,0.0656,0.0366
2,137,0.1086,0.0706,0.0379
2,138,0.1088,0.0708,0.0380
2,139,0.1022,0.0656,0.0366
2,140,0.1121,0.0742,0.0379
2,141,0.1030,0.0644,0.0385
2,142,0.1017,0.0632,0.0385
2,143,0.1007,0.0633,0.0374
2,144,0.1102,0.0719,0.0383
2,145,0.1059,0.0667,0.0392
2,146,0.1121,0.0748,0.0373
2,147,0.1028,0.0647,0.0381
2,148,0.1065,0.0683,0.0382
2,149,0.1059,0.0689,0.0370
2,150,0.1029,0.0660,0.0369
2,151,0.1053,0.0681,0.0372
2,152,0.1119,0.0748,0.0371
2,153,0.1074,0.0698,0.0376
2,154,0.1037,0.0653,0.0384
2,155,0.1112,0.0741,0.0371
2,156,0.1079,0.0703,0.0376
2,157,0.1033,0.0655,0.0379
2,158,0.1050,0.0677,0.0373
2,159,0.1012,0.0639,0.0373
2,160,0.1064,0.0692,0.0372
2,161,0.1085,0.0715,0.0370
2,162,0.1051,0.0675,0.0376
2,163,0.1091,0.0711,0.0381
2,164,0.1093,0.0725,0.0368
2,165,0.1080,0.0690,0.0390
2,166,0.1081,0.0698,0.0383
2,167,0.1085,0.0709,0.0377
2,168,0.1132,0.0743,0.0390
2,169,0.1066,0.0678,0.0388
2,170,0.1041,0.0650,0.0391
2,171,0.1118,0.0717,0.0401
2,172,0.1095,0.0703,0.0392
